Concern,Status,Data analysis status,Fact sheet url,Householder PlanX priority,Open planning software,HMLR Local land charges,CON29,Development plans (inc. Local Plans),Development consent orders (NSIP),Development management,Infrastructure Delivery Strategies,Biodiversity Net Gain,Environmental planning assessment,Historic Environment Record,Environmental outcome report,Planning Inspectorate,Street votes,Site allocations,"Bringing together housing, land and planning geospatial datasets",Description,Policy team,Legislation,Boundary,Point,Metric,Document,Category,Needs a standard,Who is responsible / officially designates,Authoritative source,Where we're getting data from,Expected number of sources,Expected number of records,Frequency of data updates,Related or linked to...,Dataset name,National dataset documentation page,URL of national dataset,License,Personal/sensitive information?,Who asked for it,issue-number,discussion-number
NHS trusts,Backlog,,,,,,,,,,,,,,,,,,,An organisational unit within the NHS that serves either a geographical area or a specialised function (such as an ambulance service),,,,,,,,,,NHS,,,,,,,,,,,,,
Noise abatement,Backlog,,,,,,,,,,,,,,,,,,,A set of strategies designed to reduce noise pollution,,,,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,
Noise action important areas,Backlog,,,,,,,,,,,,,,✓,,,,,A framework to manage environmental noise and to protect quiet areas in large urban areas,,,✓,,,,,,,DEFRA,,,,,,,,,,,Environmental planning assessment,,
Non designated and locally listed historic assets,Backlog,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,,,
Non designated archeology,Backlog,,,,,,,✓,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,,,
"Notices, Orders, Directions under Planning Acts",Backlog,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,
Nuclear power stations,Backlog,,,,,,,,,,,,,,,,,,,Power plants that use the process of nuclear fission to generate electricity,,,,,,,,,,EDF Energy,,,,,,,,,,,,,
Nuclear safety zones,Backlog,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,,,
Nuclear zones,Backlog,,,,,,,✓,,,,,,,,,,,,Consultation zones to limit the radiological consequences to members of the public in the event of a radiation emergency ,,,✓,,,,,,,Office of Nuclear Regulation,,,,,,,,,,,Local plans,,
Open green space,Backlog,,,,,,,,✓,,,,,,,,,,✓,Places that are intentionally not developed,,,,,,,,,,,,,,,,,https://www.ordnancesurvey.co.uk/business-government/products/open-map-greenspace,,,,,,
Open roads,Backlog,,,,,,,,,,,,,,,,,,✓,"High-level view of the road network, from motorways to country lanes",,,,,,,,,,,,,,,,,https://www.ordnancesurvey.co.uk/business-government/products/open-map-roads,,,,,,
Opencast coal prospecting areas,Backlog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,
Outstanding notices,Backlog,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,
Parish,On the platform,,,,,,,,✓,,,,,,,,,,✓,The smallest type of local government administrative area in England,,,✓,,,,,,,Office for National Statistics,Office for National Statistics,Single,Medium,,,,,,,,Development consent orders (NSIP),20,38
Parliamentary constituencies,Backlog,,,,,,,,,,,,,,,,,,✓,Specific geographical areas that are represented by each MP in the House of Commons,,,,,,,,,,,,,,,,,https://beta.ordnancesurvey.co.uk/products/boundary-line,,,,,,
Permitted development rights,On the platform,,,,✓,,,✓,,,,,,,,,,,,The right to carry out certain building works and changes of use without the need for a full planning application,Development Management,,,,,,✓,,,DLUHC,Digital Land,Single,Small,Ad-hoc,Article 4 Direction;Site allocations,,,,,,Open planning software,14,39
Planning application consultations,Prioritised backlog,,,,✓,,,,,,,,,,,,,,,The period of consultation where views on the proposed development can be communicated,Development Management,,✓,,,✓,,Yes,,Local planning authorities,,,,,,,,,,,,,
Planning application variance,Backlog,,,,✓,,,,,,,,,,,,,,,Options for amending proposals that have planning permission,,,✓,,,✓,✓,,,Local planning authorities,,,,,,,,,,,,,
Planning applications & decisions,In development,,,,✓,,,,✓,,,,,,,,,,,Records of applications for development and the associated decisions,Development Management,,✓,,,✓,✓,Yes,,Local planning authorities;Planning inspectorate,,,,Daily,,,,,,,Open planning software;Development consent orders (NSIP),,25
Planning conditions (Article 3 directions),Discovery,Phase 2,,High,✓,,,,,,,,,,,,,,,,Development Management,,✓,,,✓,✓,Yes,,Local planning authorities,,,,,,,,,,,,4,40
Play spaces,Backlog,,,,,,,,,,,,,,✓,,,,,Area set aside for children to play in,,,✓,,,,,,,,,,,,,,,,,,Environmental planning assessment,,
Playing fields,Backlog,,,,,,,,,,,,,,✓,,,,,Land in the open air provided for physical education or recreation,,,✓,,,,,,,,,,,,,,,,,,Environmental planning assessment,,
Pollinator corridors,Backlog,,,,,,,,,,,,,,,,,,,"A corridor of native plants that connects different areas of habitat, providing nutrition and homes for pollinators",,,,,,,,,,Biological Record Centres,,,,,,,,,,,,,
Postcodes,Backlog,,,,,,,,,,,,,,,,,,✓,A series of letters and numbers designated to an address for sorting mail,,,,,,,,,,,,,,,,,https://beta.ordnancesurvey.co.uk/products/code-point-open,,,,,,
Previously listed buildings,Backlog,,,,,,,,,,,,,,,,,,,Listed buildings that have been de-listed,,,✓,,,✓,,,,Historic England,,Single,Small,,,,,,,,,,
Price paid data,Backlog,,,,,,,,,,,,,,,,,,✓,Information on all property sales in England and Wales that are sold for value,,,,,,,,,,,,,,,,,https://www.gov.uk/government/collections/uk-house-price-index-reports#about-the-uk-hpi,,,,,,
Priority habitat inventory,Backlog,,,,,,,,,,,,,,,,,,,Geographic extent and location of habitats of principal importance,,,,,,,,,,Natural England,,,,,,,,,,,,,
Priority river habitat - headwater areas,Backlog,,,,,,,,,,,,,,,,,,,River and stream sources that exhibit a high degree of naturalness,,,,,,,,,,Natural England,,,,,,,,,,,,,
Priority river habitat - rivers,Backlog,,,,,,,,,,,,,,,,,,,Rivers and streams that exhibit a high degree of naturalness,,,,,,,,,,Natural England,,,,,,,,,,,,,
Probable coal mining,Backlog,,,,,,,,,,,,,,,,,,,Locations and estimated extents of probable shallow coal mines for which no recorded plan exists,,,,,,,,,,Coal Authority,,,,,,,,,,,,,
Proposed ramsar sites,Backlog,,,,,,,✓,,,,,,,,,,,,Proposed boundaries of wetlands of international importance,,,✓,,,,,,,,,,,,,,,,,,,,
Protected land,Backlog,,,,,,,,✓,,,,,,,,,,,Sites with special status as protected areas because of their natural and cultural importance,,,✓,,,,,,,,,,,,,,,,,,Development consent orders (NSIP),,
Protected sites (statutory sites),Backlog,,,,,,,,,,,,,,,,,,,Sites that have protection through legislation in recognition of biodiversity and geological value,,,,,,,,,,Biological Record Centres,,,,,,,,,,,,,
Protected species,Backlog,,,,,,,,,,,,,,,,,,,"Threatened, vulnerable or endangered species which are protected from extinction",,,,,,,,,,Biological Record Centres,,,,,,,,,,,,,
Protected views,Backlog,,,,,,,✓,,,,,,,,,,,,Legal requirement to preserve the view of a specific place or historic building from another location,,,✓,,,,,,,,,,,,,,,,,,,,
Protected wreck sites,On the platform,,,,,,,✓,,,,,,,✓,,,,,The restricted area around the wreck of a nationally important vessel to prevent any interference,,,✓,,,,,,,Historic England,Historic England,Single,Small,,,,,,,,Environmental planning assessment,,
Public health service delivery performance,Backlog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHS,,,,,,,,,,,,,
Public paths byways,Backlog,,,,,,,,,,,,,,,,,,,Tracks and paths open to the public,,,,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,
Public right of ways,Backlog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public safety zone around airport,Backlog,,,,,,,,,,,,,,,,,,,End of runway areas where development is restricted for public safety,,,✓,,,,,,,,,,,,,,,,,,,,
Public transport access nodes,Backlog,,,,,,,,✓,,,,,,,,,,✓,,,,✓,,,,,,,,,,,,,,https://www.gov.uk/government/publications/national-public-transport-access-node-schema,,,,Development consent orders (NSIP),,
Public transport timetables,Backlog,,,,,,,,,,,,,,,,,,✓,Information on timings of all forms of public transport,,,,,,,,,,,,,,,,,https://data.gov.uk/dataset/0447f8d9-8f1b-4a68-bbc8-246981d02256/traveline-national-dataset,,,,,,
Radon,Backlog,,,,,,,,✓,,,,,,,,,,✓,A naturally occurring radioactive gas which may be found in high concentrations in indoor environments,,,✓,,,✓,,,,British Geological Survey,,,,,,,https://www.bgs.ac.uk/datasets/radon-data-indicative-atlas-of-radon/,https://www.bgs.ac.uk/download/radon-potential-indicative-atlas-data-for-great-britain/#,,,Development consent orders (NSIP),,
Railway tracks,Backlog,,,,,,,,,,,,,,✓,,,,,The structures that trains run on,,,✓,,,,,,,Ordnance Survey,,,,,,,,,,,Environmental planning assessment,,
Rainfall data,Backlog,,,,,,,,✓,,,,,,,,,,✓,Rainfall measurements across the UK,,,✓,,✓,,,,,Environment Agency,,,,,,,https://environment.data.gov.uk/flood-monitoring/doc/rainfall,,,,Development consent orders (NSIP),,
Ramsar,On the platform,,,,✓,,,✓,✓,,,,✓,,,,,,✓,An area of wetlands that is of international importance ,,,✓,,,,,,,Natural England,Natural England,Single,Small,,,,,,,,Development consent orders (NSIP);Environmental planning assessment,18,41
Recorded flood outlines,Backlog,,,,,,,,,,,,,,,,,,,"Records of historic flooding from rivers, the sea, groundwater and surface water",,,,,,,,,,Environment Agency,,,,,,,,,,,,,
Regional flood and coastal committees,Backlog,,,,,,,,,,,,,,,,,,,Boundaries of the regional flood and coastal committees in England,,,,,,,,,,Environment Agency,,,,,,,,,,,,,
Religious buildings,Backlog,,,,,,,,,,,,,,✓,,,,,Structures created for worship,,,✓,,,,,,,Ordnance Survey,,,,,,,,,,,Environmental planning assessment,,
Renewable energy planning database (REPD),Backlog,,,,,,,,,,,,,,,,,,,Progress tracking of UK renewable electricity projects over 150kW,,,,,,,,,,BEIS,,,,,,,,,,,,,
Reservoirs,Backlog,,,,,,,,,,,,,,,,,,,Artificial lakes where water is collected and stored,,,,,,,,,,Canal and Riover Trust,,,,,,,,,,,,,
Retail opportunity areas,Backlog,,,,,,,✓,,,,,,,,,,,,Appropriate areas for improvement for retail and regeneration ,,,✓,,,✓,,,,,,,,,,,,,,,,,
Risk of flooding from rivers and seas – postcodes,Backlog,,,,,,,,✓,,,,,,,,,,✓,Postcodes where there is a chance of flooding from rivers and/or the sea,,,✓,,,,,,,,,,,,,,https://ckan.publishing.service.gov.uk/dataset/risk-of-flooding-from-rivers-and-sea-postcodes-in-areas-at-risk,,,,Development consent orders (NSIP),,
Risk of flooding from rivers and seas – properties,Backlog,,,,,,,,✓,,,,,,,,,,✓,Properties where there is a chance of flooding from rivers and/or the sea,,,✓,,,,,,,,,,,,,,https://ckan.publishing.service.gov.uk/dataset/risk-of-flooding-from-rivers-and-sea-properties-in-areas-at-risk,,,,Development consent orders (NSIP),,
Risk of flooding from surface water,Backlog,,,,,,,,✓,,,,,,,,,,✓,Areas where there is risk of flooding from excessive rainfall,,,✓,,,,,,,,,,,,,,https://data.gov.uk/dataset/95ea1c96-f3dd-4f92-b41f-ef21603a2802/risk-of-flooding-from-surface-water-extent-3-3-percent-annual-chance,,,,Development consent orders (NSIP),,
River basin districts,Backlog,,,,,,,,,,,,,,,,,,,"Areas of land and sea, made up of one or more neighbouring river basins together with their associated groundwaters and coastal waters",,,,,,,,,,Environment Agency,,,,,,,,,,,,,
River corridor features,Backlog,,,,,,,,,,,,,,,,,,,"Habitats, flow types and physical features of a watercourse",,,,,,,,,,Biological Record Centres,,,,,,,,,,,,,
"Roadways, footways and footpaths",Backlog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Local planning authorities,,,,,,,,,,,,,
Rocky shores,Backlog,,,,,,,,,,,✓,,,,,,,,Seacoasts where solid rock predominates,,,,,,,,,,,,,,,,,,,,,,,
Safeguarded aerodromes,Backlog,,,,,,,✓,,,,,,,,,,,,"Areas designed to protect aircraft from obstacles when manoeuvring on the ground, taking off, landing or flying in the vicinity of the aerodrome",,,✓,,,,,,,,,,,,,,,,,,,,
Safeguarded land,Backlog,Phase 1,https://docs.google.com/document/d/1BrSkKUzocPAV1OlMkZC0kwIgKWg2W5vq22i4vjN38T0/edit#heading=h.lb9do641w06g,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Safeguarded military explosives site,Backlog,,,,,,,✓,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,,,
Safeguarded wharves,Backlog,,,,,,,✓,,,,,,,,,,,,Wharves in London which have been given special status to ensure they are retained as working wharves and are protected from redevelopment,,,✓,,,,,,,,,,,,,,,,,,,,
Safety hazard areas,Backlog,Phase 1,https://docs.google.com/document/d/1YgFbQ_-ye98hrGYQg9j5HXtPeVrr8Zcx_08NHAlWe6c/edit,,✓,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,,,
Scheduled monuments,On the platform,,,,✓,,,✓,✓,,,,✓,,,,,,✓,A site that's legally protected because of its historical importance,,,✓,,,,,,,DCMS;Historic England,Historic England,Single,Small,,,,,,,,Development consent orders (NSIP);Environmental planning assessment,,
School catchment areas,Backlog,,,,,,,,,,,,,,,,,,,Geographical area surrounding a school from which it will usually take most of its pupils,,,,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,
Seabird nesting counts,Backlog,,,,,,,,,,,,,,,,,,,Counts of breeding seabirds,,,,,,,,,,Joint Nature Conservation Committee,,,,,,,,,,,,,
Section 73,Backlog,,,,✓,,,,,,,,,,,,,,,Applications for planning permission to develop land without complying with previously imposed planning conditions,,,,,,,,,,,,,,,,,,,,,,,
Self and custom build area,Backlog,,,,,,,,,,,,,,,,,,,Plots for custom and self-build homes,,,✓,,,,,,,,,,,,,,,,,,,,
Sensitive areas - nitrates,Backlog,,,,,,,,,,,,,,,,,,,Areas designated as being at risk from agricultural nitrate pollution,,,,,,,,,,Natural England,,,,,,,,,,,,,
Shallow coal mine workings,Backlog,,,,,,,,,,,,,,,,,,,Shallow coal mine workings are derived from the Coal Authority’s records of underground coal mine workings,,,,,,,,,,Coal Authority,,,,,,,,,,,,,
Shellfish waters,Backlog,,,,,,,,,,,,,,,,,,,Areas designated for the protection of shellfish growth and production,,,,,,,,,,"Centre for Environment, Fisheries and Aquaculture Science",,,,,,,,,,,,,
Site allocations,Backlog,,,,,,,✓,,,,,,,,,,,,"Areas identified as sites for housing, employment, retail or green space to be developed in the future",,,✓,,✓,✓,,Yes,,Local planning authorities,,,,,,,,,,,,7,42
Sites of importance for nature conservation,Next,Phase 1,https://docs.google.com/document/d/1VbAfgd7dFrODkCpFEKFLAgAUfeodNTqEiDt1rL3cOO4/edit#heading=h.9rwg3m580tpf,Medium,✓,,,,,,,,,,✓,,,,,Defined areas identified and selected for their nature conservation value,,,✓,,,,,,,,,,,,,,,,,,Environmental planning assessment,,
Sites of special scientific interest,On the platform,,,,✓,,,✓,✓,,,,✓,,,,,,✓,A protected area that’s of particular interest to science due to rare species of fauna or flora or important geological or physiological features,,,✓,,,,,,,Natural England,Natural England,Single,Small,,,,,,,,Development consent orders (NSIP);Environmental planning assessment,,
